edge_id,source_id,target_id,relation_type,weight,listen_count,rating
E0001,U0858,S1267,LIKES,0.32,30,1
E0002,U0611,S0525,LIKES,0.35,11,2
E0003,U0057,S1235,LIKES,0.96,44,5
E0004,U0412,S0975,LIKES,0.78,37,4
E0005,U0139,S1852,LIKES,0.84,46,4
E0006,U1168,S1619,LIKES,0.7,24,4
E0007,U1096,S0052,LIKES,0.19,8,1
E0008,U0723,S0024,LIKES,0.62,10,4
E0009,U0489,S1036,LIKES,0.95,42,5
E0010,U0031,S1231,LIKES,0.3,26,1
E0011,U0364,S1324,LIKES,0.45,5,3
E0012,U1249,S1598,LIKES,0.93,38,5
E0013,U1196,S0713,LIKES,0.84,47,4
E0014,U0047,S1603,LIKES,0.27,22,1
E0015,U0787,S1355,LIKES,0.58,27,3
E0016,U0700,S0671,LIKES,0.16,3,1
E0017,U0900,S0811,LIKES,0.92,37,5
E0018,U0095,S0442,LIKES,0.4,43,1
E0019,U0199,S1942,LIKES,0.49,12,3
E0020,U0426,S1281,LIKES,0.43,1,3
E0021,U0918,S1521,LIKES,0.48,10,3
E0022,U1424,S0182,LIKES,0.6,6,4
E0023,U1266,S1437,LIKES,0.22,13,1
E0024,U1496,S1685,LIKES,0.74,7,5
E0025,U1478,S1009,LIKES,0.37,39,1
E0026,U0621,S1843,LIKES,0.4,20,2
E0027,U1230,S1233,LIKES,0.72,4,5
E0028,U0165,S1584,LIKES,0.81,42,4
E0029,U1303,S1982,LIKES,0.44,3,3
E0030,U0939,S1694,LIKES,0.59,5,4
E0031,U0678,S1544,LIKES,0.44,4,3
E0032,U0600,S1348,LIKES,0.62,33,3
E0033,U0498,S0945,LIKES,0.19,9,1
E0034,U0091,S0468,LIKES,0.52,40,2
E0035,U0033,S1212,LIKES,0.37,39,1
E0036,U1310,S0959,LIKES,0.95,42,5
E0037,U1161,S0404,LIKES,0.56,46,2
E0038,U1205,S1793,LIKES,0.44,27,2
E0039,U1327,S0454,LIKES,0.6,30,3
E0040,U0677,S1092,LIKES,0.32,6,2
E0041,U1242,S0403,LIKES,0.52,40,2
E0042,U0948,S0462,LIKES,0.47,9,3
E0043,U0808,S1305,LIKES,0.15,1,1
E0044,U0796,S1383,LIKES,0.73,5,5
E0045,U0175,S0374,LIKES,0.7,47,3
E0046,U0231,S1064,LIKES,0.44,3,3
E0047,U1185,S0537,LIKES,0.85,25,5
E0048,U0381,S1596,LIKES,0.31,29,1
E0049,U1035,S1057,LIKES,0.89,31,5
E0050,U0985,S1446,LIKES,0.49,35,2
E0051,U1213,S0783,LIKES,0.6,30,3
E0052,U1058,S1293,LIKES,0.66,17,4
E0053,U1435,S1579,LIKES,0.64,36,3
E0054,U0051,S0951,LIKES,0.83,22,5
E0055,U0979,S1240,LIKES,0.98,46,5
E0056,U1399,S0854,LIKES,0.49,35,2
E0057,U1470,S0959,LIKES,0.79,39,4
E0058,U0537,S0371,LIKES,0.39,19,2
E0059,U0401,S0960,LIKES,0.41,21,2
E0060,U0806,S0128,LIKES,0.35,11,2
E0061,U0159,S0039,LIKES,0.36,14,2
E0062,U0234,S1345,LIKES,0.78,13,5
E0063,U1441,S1508,LIKES,0.38,16,2
E0064,U0238,S0169,LIKES,0.68,43,3
E0065,U0662,S1660,LIKES,0.93,38,5
E0066,U1304,S0554,LIKES,0.5,13,3
E0067,U0008,S1469,LIKES,0.44,4,3
E0068,U0990,S1703,LIKES,0.4,43,1
E0069,U0305,S1537,LIKES,0.25,19,1
E0070,U1379,S1859,LIKES,0.47,31,2
E0071,U1499,S1844,LIKES,0.21,12,1
E0072,U0922,S1176,LIKES,0.78,13,5
E0073,U1487,S1653,LIKES,0.2,10,1
E0074,U1359,S1483,LIKES,0.4,44,1
E0075,U0337,S0910,LIKES,0.57,2,4
E0076,U0511,S0774,LIKES,0.86,27,5
E0077,U0766,S0026,LIKES,0.24,16,1
