node_id,node_type,name,age,favorite_genre,artist,genre,release_year
U0001,user,Usuario 1,19,"Pop, Salsa",,,
U0002,user,Usuario 2,21,Indie,,,
U0003,user,Usuario 3,32,"Salsa, Bachata, Jazz",,,
U0004,user,Usuario 4,19,Cumbia,,,
U0005,user,Usuario 5,22,Pop,,,
U0006,user,Usuario 6,29,"Salsa, Jazz",,,
U0007,user,Usuario 7,24,"Salsa, Jazz, Cumbia",,,
U0008,user,Usuario 8,31,K-Pop,,,
U0009,user,Usuario 9,28,Cumbia,,,
U0010,user,Usuario 10,30,"Pop, Cumbia",,,
U0011,user,Usuario 11,33,Salsa,,,
U0012,user,Usuario 12,31,K-Pop,,,
U0013,user,Usuario 13,36,"Bachata, Hip Hop, R&B",,,
U0014,user,Usuario 14,30,Salsa,,,
U0015,user,Usuario 15,18,"Salsa, Pop",,,
U0016,user,Usuario 16,38,"Salsa, Rock",,,
U0017,user,Usuario 17,35,Pop,,,
U0018,user,Usuario 18,31,Reggaeton,,,
U0019,user,Usuario 19,21,Jazz,,,
U0020,user,Usuario 20,38,Rock,,,
U0021,user,Usuario 21,18,"Jazz, Bachata, Electrónica",,,
U0022,user,Usuario 22,31,Cumbia,,,
U0023,user,Usuario 23,37,"Cumbia, Electrónica",,,
U0024,user,Usuario 24,39,Salsa,,,
U0025,user,Usuario 25,22,"Rock, Reggaeton",,,
U0026,user,Usuario 26,29,Indie,,,
U0027,user,Usuario 27,20,"Hip Hop, Cumbia",,,
U0028,user,Usuario 28,25,Jazz,,,
U0029,user,Usuario 29,23,"Cumbia, R&B",,,
U0030,user,Usuario 30,31,Rock,,,
U0031,user,Usuario 31,36,"Jazz, Electrónica",,,
U0032,user,Usuario 32,40,"Reggaeton, Salsa, Cumbia",,,
U0033,user,Usuario 33,40,Reggaeton,,,
U0034,user,Usuario 34,36,Cumbia,,,
U0035,user,Usuario 35,30,Jazz,,,
U0036,user,Usuario 36,26,"R&B, K-Pop, Hip Hop",,,
U0037,user,Usuario 37,30,"Pop, R&B, Bachata",,,
U0038,user,Usuario 38,16,"Hip Hop, Bachata, Indie",,,
U0039,user,Usuario 39,18,"Reggaeton, Pop",,,
U0040,user,Usuario 40,22,Electrónica,,,
U0041,user,Usuario 41,31,"Salsa, Pop, K-Pop",,,
U0042,user,Usuario 42,29,R&B,,,
U0043,user,Usuario 43,31,"Bachata, Hip Hop",,,
U0044,user,Usuario 44,17,"Indie, Electrónica, Jazz",,,
U0045,user,Usuario 45,34,Salsa,,,
U0046,user,Usuario 46,39,"Electrónica, Cumbia",,,
U0047,user,Usuario 47,31,"Electrónica, Salsa",,,
U0048,user,Usuario 48,27,Bachata,,,
U0049,user,Usuario 49,18,K-Pop,,,
U0050,user,Usuario 50,18,"Cumbia, K-Pop",,,
U0051,user,Usuario 51,32,Reggaeton,,,
U0052,user,Usuario 52,35,"Jazz, Bachata, R&B",,,
U0053,user,Usuario 53,16,"Cumbia, Bachata, Hip Hop",,,
U0054,user,Usuario 54,30,"Rock, Cumbia",,,
U0055,user,Usuario 55,26,Electrónica,,,
U0056,user,Usuario 56,39,"Bachata, Electrónica",,,
U0057,user,Usuario 57,18,"Hip Hop, Reggaeton",,,
U0058,user,Usuario 58,17,R&B,,,
U0059,user,Usuario 59,18,"Indie, Salsa",,,
U0060,user,Usuario 60,37,Reggaeton,,,
U0061,user,Usuario 61,32,"Bachata, Indie",,,
U0062,user,Usuario 62,20,"Hip Hop, Cumbia",,,
U0063,user,Usuario 63,17,"Reggaeton, Pop",,,
U0064,user,Usuario 64,31,"Salsa, Hip Hop, Cumbia",,,
U0065,user,Usuario 65,17,"Salsa, Indie",,,
U0066,user,Usuario 66,31,"R&B, Cumbia",,,
U0067,user,Usuario 67,29,"Cumbia, K-Pop",,,
U0068,user,Usuario 68,20,Bachata,,,
U0069,user,Usuario 69,17,"Bachata, Cumbia",,,
U0070,user,Usuario 70,26,"Cumbia, Indie, Electrónica",,,
U0071,user,Usuario 71,18,Bachata,,,
U0072,user,Usuario 72,37,"R&B, Salsa, Electrónica",,,
U0073,user,Usuario 73,17,"Jazz, Hip Hop",,,
U0074,user,Usuario 74,18,Pop,,,
U0075,user,Usuario 75,23,K-Pop,,,
U0076,user,Usuario 76,17,Pop,,,
U0077,user,Usuario 77,32,R&B,,,
U0078,user,Usuario 78,23,Indie,,,
U0079,user,Usuario 79,31,Rock,,,
U0080,user,Usuario 80,19,"Jazz, Bachata, R&B",,,
U0081,user,Usuario 81,21,"Jazz, Salsa, K-Pop",,,
U0082,user,Usuario 82,33,"Bachata, Electrónica",,,
U0083,user,Usuario 83,21,"Bachata, Pop, Indie",,,
U0084,user,Usuario 84,17,Electrónica,,,
U0085,user,Usuario 85,35,Bachata,,,
U0086,user,Usuario 86,20,"Electrónica, Pop, Rock",,,
U0087,user,Usuario 87,39,"K-Pop, Bachata",,,
U0088,user,Usuario 88,38,Electrónica,,,
U0089,user,Usuario 89,23,"R&B, Pop",,,
U0090,user,Usuario 90,36,K-Pop,,,
U0091,user,Usuario 91,37,"Hip Hop, Salsa, Jazz",,,
U0092,user,Usuario 92,36,"Pop, Electrónica",,,
U0093,user,Usuario 93,35,K-Pop,,,
U0094,user,Usuario 94,20,"Indie, Cumbia, Jazz",,,
U0095,user,Usuario 95,17,K-Pop,,,
U0096,user,Usuario 96,31,"Pop, Cumbia, Rock",,,
U0097,user,Usuario 97,30,"Reggaeton, Pop",,,
U0098,user,Usuario 98,18,K-Pop,,,
U0099,user,Usuario 99,37,"Indie, Jazz",,,
U0100,user,Usuario 100,18,"Pop, Indie",,,
U0101,user,Usuario 101,34,Pop,,,
U0102,user,Usuario 102,30,"Pop, Reggaeton",,,
U0103,user,Usuario 103,37,"Rock, Cumbia, R&B",,,
U0104,user,Usuario 104,26,Indie,,,
U0105,user,Usuario 105,30,"Bachata, Jazz, R&B",,,
U0106,user,Usuario 106,16,"Rock, Bachata",,,
U0107,user,Usuario 107,31,"Indie, Jazz, Hip Hop",,,
U0108,user,Usuario 108,31,"Jazz, Salsa, K-Pop",,,
U0109,user,Usuario 109,37,R&B,,,
U0110,user,Usuario 110,21,Bachata,,,
U0111,user,Usuario 111,36,Jazz,,,
U0112,user,Usuario 112,28,"K-Pop, Bachata, Indie",,,
U0113,user,Usuario 113,27,"Bachata, Indie",,,
U0114,user,Usuario 114,17,Electrónica,,,
U0115,user,Usuario 115,23,Indie,,,
